Package or Category,License Concluded,Project,Scope,Status,Comments,Date Published,Last updated: 2026-02-04
github.com/karrick/godirwalk,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kevinburke/ssh_config,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kisielk/sqlstruct,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/knative/build,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/kr/fs,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kr/pretty,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kr/pty,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kr/text,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/kubernetes-incubator/apiserver-builder,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/kubernetes-incubator/reference-docs,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/kubernetes-sigs/application,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/kubernetes/repo-infra,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/kylelemons/godebug,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/lib/pq,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/libopenstorage/openstorage,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/libvirt/libvirt-go,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/libvirt/libvirt-go-xml,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/lpabon/godbc,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/lxn/win,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/magiconair/properties,(BSD-2-Clause AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mailru/easyjson,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/MakeNowJust/heredoc,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/markbates/inflect,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/marpaia/graphite-golang,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Masterminds/semver,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Masterminds/sprig,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Masterminds/vcs,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mattn/go-runewidth,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mattn/go-shellwords,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mattn/go-zglob,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/matttproud/golang_protobuf_extensions,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mesos/mesos-go,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/mholt/caddy,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/Microsoft/go-winio,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Microsoft/hcsshim,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/miekg/coredns,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/miekg/dns,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mindprince/gonvml,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/mistifyio/go-zfs,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/mitchellh/go-homedir,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mitchellh/go-ps,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mitchellh/go-wordwrap,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mitchellh/hashstructure,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mitchellh/mapstructure,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/moby/hyperkit,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/modern-go/concurrent,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/modern-go/reflect2,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/mohae/deepcopy,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/moul/http2curl,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mrunalp/fileutils,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/mvdan/xurls,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/mxk/go-flowrate,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/ncabatoff/process-exporter,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/nightlyone/lockfile,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/novln/docker-parser,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/NYTimes/gziphandler,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/olekukonko/tablewriter,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/onsi/ginkgo,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/onsi/gomega,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/opencontainers/image-spec,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/opencontainers/runtime-spec,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/opencontainers/selinux,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/openshift/origin,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/opentracing/opentracing-go,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/parnurzeal/gorequest,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/patrickmn/go-cache,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/paultag/sniff,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/pborman/uuid,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pelletier/go-buffruneio,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pelletier/go-toml,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/petar/GoLLRB,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/peterbourgon/diskv,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pierrec/lz4,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pierrec/xxHash,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pkg/browser,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pkg/errors,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pkg/profile,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pkg/sftp,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pmezard/go-difflib,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pquerna/cachecontrol,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/pquerna/ffjson,(BSD-3-Clause AND Apache-2.0 AND ISC),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/prometheus/client_golang,(BSD-3-Clause AND Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/prometheus/client_model,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/prometheus/common,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/prometheus/procfs,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/PuerkitoBio/purell,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/PuerkitoBio/urlesc,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/r2d4/external-storage,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/rackspace/gophercloud,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/rancher/go-rancher,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/rcrowley/go-metrics,BSD-2-Clause-FreeBSD,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/renstrom/dedent,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Rican7/retry,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/riemann/riemann-go-client,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/robfig/cron,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/russross/blackfriday,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/samalba/dockerclient,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/satori/go.uuid,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/scalingdata/gcfg,(BSD-2-Clause AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/sdboyer/constext,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/seccomp/libseccomp-golang,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/sergi/go-diff,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Shopify/sarama,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/shurcooL/githubv4,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/shurcooL/go,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/shurcooL/graphql,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/shurcooL/sanitized_anchor_name,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/sirupsen/logrus,(BSD-2-Clause AND BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/skynetservices/skydns,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/smartystreets/go-aws-auth,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/soheilhy/cmux,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/spf13/afero,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/spf13/cast,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/spf13/cobra,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/spf13/jwalterweatherman,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/spf13/pflag,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/spf13/viper,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/storageos/go-api,(BSD-2-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/streadway/quantile,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/stretchr/objx,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/stretchr/testify,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/syndtr/gocapability,BSD-2-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/tchap/go-patricia,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/thockin/glogr,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/thockin/logr,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/tmc/grpc-websocket-proxy,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/tsenart/vegeta,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/ugorji/go,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/Unknwon/goconfig,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/urfave/cli,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/vishvananda/netlink,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/vishvananda/netns,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/vmware/govmomi,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/vmware/photon-controller-go-sdk,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/weaveworks/mesh,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/xanzy/go-cloudstack,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/xeipuuv/gojsonpointer,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/xeipuuv/gojsonreference,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
github.com/xeipuuv/gojsonschema,(Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/xiang90/probing,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/zakjan/cert-chain-resolver,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
github.com/ziutek/syslog,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
go.opencensus.io,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
go.uber.org/atomic,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
go.uber.org/multierr,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
go.uber.org/zap,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
go4.org/errorutil,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
golang.org/x/build,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/exp,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/lint,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/oauth2,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/sync,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/sys,(LicenseRef-Google-Patents-Notice-Golang AND BSD-2-Clause AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/text,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/time,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang.org/x/tools,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause AND Apache-2.0 AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
golang/archive/tar,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gonum.org/v1/gonum,((BSD-3-Clause OR CC0-1.0) AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
google.golang.org/cloud,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
google.golang.org/genproto,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
gopkg.in/check.v1,(BSD-2-Clause AND BSD-3-Clause),,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/cheggaaa/pb.v1,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/fsnotify,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/gcfg.v1,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/go-playground/pool.v3,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/igm/sockjs-go.v2,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/inf.v0,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/natefinch/lumberjack.v2,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/olivere/elastic.v3,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/olivere/elastic.v5,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/robfig/cron.v2,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/square/go-jose.v2,(BSD-3-Clause AND Apache-2.0),,build-time dependency,allowlisted,allowlisted,2019-11-01,
gopkg.in/src-d,Apache-2.0,,build-time dependency,apache-2.0,"Apache-2.0, no approval needed",2019-11-01,
gopkg.in/tomb.v1,BSD-3-Clause,,build-time dependency,allowlisted,allowlisted,2019-11-01,
jquery.scrollto,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
marked,(BSD-3-Clause AND MIT),,build-time dependency,allowlisted,allowlisted,2019-11-01,
mime,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
minimist,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
node-static,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
optimist,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
ui-router for Angular,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
vbom.ml/util,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
wordwrap,MIT,,build-time dependency,allowlisted,allowlisted,2019-11-01,
VirtualBox Linux Guest Drivers Makefile,GPL-2.0-only,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-05-20,2019-05-20,
Angular,MIT,,,approved,contained directly in repo; not auto-allowlist because: Not isolated; approved by GB exception 2019-03-11,2019-03-11,
Asciidoctor,MIT,,,approved,contained directly in repo; not auto-allowlist because: Not isolated; approved by GB exception 2019-03-11,2019-03-11,
Azure acr-docker-credential-helper,MIT,,,approved,modified from upstream; not auto-allowlist because: Modified; approved by GB exception 2019-03-11,2019-03-11,
Backbone,MIT,,,approved,contained directly in repo; not auto-allowlist because: Not isolated; approved by GB exception 2019-03-11,2019-03-11,
bitbucket.org/bertimus9/systemstat,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
bitbucket.org/ww/goautoneg,BSD-3-Clause,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
bootstrap,(CC-BY-3.0 AND MIT),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
dialog-polyfill.css,BSD-3-Clause,,,approved,contained directly in repo; not auto-allowlist because: Not isolated; approved by GB exception 2019-03-11,2019-03-11,
font-awesome,(CC-BY-3.0 AND MIT AND OFL-1.1),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
Gingko,MIT,,,approved,contained directly in repo; not auto-allowlist because: Not isolated; approved by GB exception 2019-03-11,2019-03-11,
github.com/Azure/azure-pipeline-go,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/bungle/lua-resty-template,BSD-3-Clause,,,approved,modified from upstream; not auto-allowlist because: Modified; approved by GB exception 2019-03-11,2019-03-11,
github.com/c4milo/gotoolkit,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/client9/misspell,(Unlicense AND BSD-3-Clause AND MIT),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/d2g/dhcp4,BSD-3-Clause,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/d2g/dhcp4client,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/dgryski/go-onlinestats,(MIT AND LicenseRef-Public-domain-statement),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/docker/go-units,(CC-BY-SA-4.0 AND CC-BY-4.0 AND Apache-2.0),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/docker/spdystream,(CC-BY-SA-4.0 AND CC-BY-4.0 AND BSD-3-Clause AND Apache-2.0),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/go-sql-driver/mysql,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/gonum/graph,BSD-3-Clause,,,approved,modified from upstream; not auto-allowlist because: Modified; approved by GB exception 2019-03-11,2019-03-11,
github.com/google/go-github,(BSD-3-Clause AND CC-BY-3.0),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/grpc-ecosystem/grpc-opentracing,(BSD-3-Clause AND LicenseRef-Google-Patents-Notice-GRPC),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/hashicorp/errwrap,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/hashicorp/go-cleanhttp,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/hashicorp/go-multierror,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/hashicorp/golang-lru,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/hashicorp/hcl,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/hooklift/iso9660,MPL-2.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/howeyc/gopass,(ISC AND CDDL-1.0),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/jbenet/go-context,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/JeffAshton/win_pdh,BSD-3-Clause,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/jmank88/nuts,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/johanneswuerbach/nfsexports,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/joshdk/go-junit,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/jteeuwen/go-bindata,CC0-1.0,,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/konsorten/go-windows-terminal-sequences,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/marstr/guid,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/mattn/go-sqlite3,(MIT AND LicenseRef-Public-domain-statement),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/multiarch/qemu-user-static,MIT,,,approved,modified from upstream; not auto-allowlist because: Modified; approved by GB exception 2019-03-11,2019-03-11,
github.com/Nvveen/Gotty,BSD-2-Clause-FreeBSD,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/opencontainers/go-digest,(CC-BY-SA-4.0 AND CC-BY-4.0 AND Apache-2.0),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/opencontainers/runc,(LicenseRef-CC-unspecified AND Apache-2.0),,,approved,not auto-allowlist because: Non-allowlist license(s); approved by GB exception 2019-03-11,2019-03-11,
github.com/quobyte/api,BSD-3-Clause,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/rubiojr/go-vhd,MIT,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/sigma/go-inotify,(LicenseRef-Google-Patents-Notice-Golang AND BSD-3-Clause),,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/spotinst/spotinst-sdk-go,(BSD-3-Clause AND Apache-2.0 AND MIT),,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/src-d/gcfg,BSD-3-Clause,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/tent/http-link-go,BSD-3-Clause,,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/xanzy/ssh-agent,(Apache-2.0 AND MIT),,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
github.com/zchee/go-vmnet,(BSD-2-Clause AND BSD-3-Clause),,,approved,not auto-allowlist because: Insufficient stars / forks; approved by GB exception 2019-03-11,2019-03-11,
go-srcimporter,BSD-3-Clause,,,approved,modified from upstream; not auto-allowlist because: Modified; approved by GB exception 2019-03-11,2019-03-11,
go9p,BSD-3-Clause,,,approved,modified from upstream; not auto-allowlist because: Modified; approved by GB exception 2019-03-11,2019-03-11,
