Lifecycle,project_id,Maintainer Name,Company,GitHub Name,maintainers.yaml,Mailing List
Graduated,kyverno,Ammar Yasser,Individual - No Account,aerosouund,https://github.com/kyverno/.project/blob/main/maintainers.yaml,cncf-kyverno-maintainers@lists.cncf.io
,,Anushka Mittal,Individual - No Account,anushkamittal20,,
,,Charles-Edouard Brétéché,"Nirmata, Inc.",eddycharly,,
,,Frank Jogeleit,Individual - No Account,fjogeleit,,
,,Jacob Lorenzen,Individual - No Account,Jaxwood,,
,,Jim Bugwadia,"Nirmata, Inc.",JimBugwadia,,
,,Jonas Beck,VELUX,Jonas-Beck,,
,,Luc Chmielowski,Nirmata,lucchmielowski,,
,,Mariam Fahmy Sobhy Zaghloul,Individual - No Account,MariamFahmy98,,
,,Shubham Gupta,Kyverno,shubham-cmyk,,
,,Shuting Zhao,"Nirmata, Inc.",realshuting,,
,,Vishal Choudhary,Individual - No Account,vishal-chdhry,,
,,Xu Liu,Individual - No Account,liuxu623,,
,,,,yrsuthari,,
,,梁 邓,Individual - No Account,YTGhost,,
Graduated,open-policy-agent,Anders Eknert,Styra Inc,anderseknert,https://github.com/open-policy-agent/.project/blob/main/maintainers.yaml,cncf-opa-maintainers@lists.cncf.io
,,Ash Narkar,Styra Inc,ashutosh-narkar,,
,,Charles Smythe,Google LLC,maxsmythe,,
,,Charlie Egan,Apple,charlieegan3,,
,,Jaydip Gabani,Individual - No Account,JaydipGabani,,
,,Sertaç Özercan,Microsoft Corporation,sozercan,,
,,Stephan Renatus,Apple Inc.,srenatus,,
,,Tim Hinrichs,Styra Inc,timothyhinrichs,,
,,Torin Warwick (Sandall),Apple,tsandall,,
Graduated,open-telemetry,Alolita Sharma,Apple Inc.,alolita,https://github.com/open-telemetry/.project/blob/main/maintainers.yaml,cncf-opentelemetry-maintainers@lists.cncf.io
,,Armin Ruech,Dynatrace LLC,arminru,,
,,Austin Parker,Hound Technology Inc. dba Honeycomb,austinlparker,,
,,Bogdan Drutu,Snowflake,bogdandrutu,,
,,Carlos Alberto Cortez,Individual - No Account,carlosalberto,,
,,David Ashpole,Google LLC,dashpole,,
,,Jack Berg,"Raintank, Inc. – Grafana Labs",jack-berg,,
,,Josh Suereth,Google LLC,jsuereth,,
,,Joshua MacDonald,Microsoft,jmacd,,
,,Juraci Paixão Kröhling,OllyGarden Inc,jpkrohling,,
,,Liudmila Molkova,Microsoft Corporation,lmolkova,,
,,Marylia Gutierrez,"Raintank, Inc. – Grafana Labs",maryliag,,
,,Morgan McLean,Individual - No Account,mtwo,,
,,Pablo Baeyens,Datadog,mx-psi,,
,,Reiley Yang,Microsoft Corporation,reyang,,
,,Severin Neumann,Bronto,svrnm,,
,,Teddy Young,"Pivotal Software, Inc.",tedsuo,,
,,Tigran Najaryan,Splunk Inc.,tigrannajaryan,,
,,Trask Stalnaker,Microsoft Corporation,trask,,
Graduated,rook,Blaine Gardner,International Business Machines Corporation,BlaineEXE,https://github.com/rook/.project/blob/main/maintainers.yaml,cncf-rook-maintainers@lists.cncf.io
,,Jared Watts,"Upbound, Inc.",jbw976,,
,,Joshua Hoblitt,Index Exchange,jhoblitt,,
,,Parth Arora,IBM,parth-gr,,
,,Satoru Takeuchi,"Cybozu, Inc.",satoru-takeuchi,,
,,,,sp98,,
,,subham rai,Individual - No Account,subhamkrai,,
,,Travis Nielsen,IBM,travisn,,
Graduated,vitessio,Arthur Schreiber,"PlanetScale, Inc.",arthurschreiber,https://github.com/vitessio/.project/blob/main/maintainers.yaml,cncf-vitess-maintainers@lists.cncf.io
,,Derek Perkins,Nozzle,derekperkins,,
,,Florent Poinsard,"PlanetScale, Inc.",frouioui,,
,,Matt Lord,"PlanetScale, Inc.",mattlord,,
,,Mohamed Hamza,Individual - No Account,mhamza15,,
,,,,timvaillancourt,,
Incubating,artifacthub,Cintia Sánchez García,Cloud Native Computing Foundation,cynthia-sg,https://github.com/artifacthub/.project/blob/main/maintainers.yaml,cncf-artifacthub-maintainers@lists.cncf.io
,,Dan Kohn,The Linux Foundation,dankohn,,
,,Matt Farina,SUSE LLC,mattfarina,,
,,Sergio Castaño Arteaga,Cloud Native Computing Foundation,tegioz,,
Incubating,backstage,André Wanlin,Spotify AB,awanlin,https://github.com/backstage/.project/blob/main/maintainers.yaml,cncf-backstage-maintainers@lists.cncf.io
,,Aramis Sennyey,"DoorDash, Inc.",aramissennyeydd,,
,,Ben Lambert,Spotify AB,benjdlambert,,
,,Fredrik Adelöw,Spotify AB,freben,,
,,Patrik Oldsberg,Spotify AB,Rugvip,,
Incubating,chaos-mesh,CWen CWen,Individual - No Account,cwen0,https://github.com/chaos-mesh/.project/blob/main/maintainers.yaml,cncf-chaos-mesh-maintainers@lists.cncf.io
,,Hao Weng,PingCAP,dcalvin,,
,,Keao Yang,PingCAP,YangKeao,,
,,Yue Yang,Individual - No Account,g1eny0ung,,
,,Zhiqiang Zhou,Individual - No Account,STRRL,,
Incubating,cloud-custodian,AJ Kerrigan,Stacklet,ajkerrigan,https://github.com/cloud-custodian/.project/blob/main/maintainers.yaml,cncf-cloudcustodian-maintainers@lists.cncf.io
,,Darren Dao,Individual - No Account,darrendao,,
,,David Filiatrault,"Amazon Web Services, Inc.",FireballDWF,,
,,,,dmytro-afanasiev,,
,,Jamison Roberts,Stacklet,jtroberts83,,
,,John Hillegass,Capital One Services LLC,JohnHillegass,,
,,Kapil Thangavelu,Capital One Services LLC,kapilt,,
,,,,mattheidelbaugh,,
,,Pratyush Mishra,Individual - No Account,PratMis,,
,,Sonny Shi,Stacklet,thisisshi,,
,,,,tjstansell,,
Incubating,confidential-containers,Ariel Adam,Red Hat LLC,ariel-adam,https://github.com/confidential-containers/.project/blob/main/maintainers.yaml,cncf-ccontainers-maintainers@lists.cncf.io
,,,,bsulich2,,
,,Dan Mihai,Microsoft Corporation,danmihai1,,
,,Harshitha Gowda,Individual - No Account,hgowda-amd,,
,,James Magowan,GSE UK Region,magowan,,
,,Jia Zhang,"ALIBABA.COM, INC.",jiazhang0,,
,,Magnus Kulke,Microsoft,mkulke,,
,,Mikko Ylinen,Intel Corporation,mythi,,
,,Nina Goradia,International Business Machines Corporation,ngoradia,,
,,Pradipta Kumar Banerjee,Individual - No Account,bpradipt,,
,,Samuel Ortiz,Individual - No Account,sameo,,
,,Tobin Feldman-Fitzthum,International Business Machines Corporation,fitzthum,,
,,Zvonko Kaiser,NVIDIA Corporation,zvonkok,,
Incubating,containernetworking,Ben Leggett,"Solo.io, Inc.",bleggett,https://github.com/containernetworking/.project/blob/main/maintainers.yaml,cncf-cni-maintainers@lists.cncf.io
,,Bruce Ma,Individual - No Account,mars1024,,
,,Casey Callendrello,Red Hat LLC,squeed,,
,,Dan Williams,Red Hat LLC,dcbw,,
,,Douglas Smith,Red Hat LLC,dougbtv,,
,,Lionel Jouin,Red Hat,LionelJouin,,
,,Marcelo Guerrero Viveros,Individual - No Account,mlguerrero12,,
,,,,matthewdupre,,
,,Michael Cambria,Red Hat LLC,mccv1r0,,
,,,,MikeZappa87,,
,,Piotr Skamruk,Individual - No Account,jellonek,,
,,Tomofumi Hayashi,Individual - No Account,s1061123,,
Incubating,cortexproject,alan protasio,"Amazon Web Services, Inc.",alanprot,https://github.com/cortexproject/.project/blob/main/maintainers.yaml,cncf-cortex-maintainers@lists.cncf.io
,,Ben Ye,"Amazon Web Services, Inc.",yeya24,,
,,Charlie Le,Apple Inc.,CharlieTLe,,
,,Daniel Blando,Individual - No Account,danielblando,,
,,Friedrich Gonzalez,Apple,friedrichg,,
,,tjdwls1201@gmail.com tjdwls1201@gmail.com,Individual - No Account,SungJin1212,,
Incubating,emissary-ingress,- Flynn,"Buoyant, Inc.",kflynn,https://github.com/emissary-ingress/.project/blob/main/maintainers.yaml,cncf-emissary-ingress-maintainers@lists.cncf.io
,,,,aliceproxy,,
,,Mark S.,Evil Geniuses For A Better Tomorrow,the-wondersmith,,
,,Phil Peble,ActiveCampaign,ppeble,,
Incubating,flatcar,Adrian Vladu,Cloudbase Solutions S.R.L,ader1990,https://github.com/flatcar/.project/blob/main/maintainers.yaml,cncf-flatcar-maintainers@lists.cncf.io
,,Aleksandra Nadolski,Microsoft Corporation,lexinadolski,,
,,Danielle T,Microsoft Corporation,miao0miao,,
,,,,danzatt,,
,,Dongsu [[unknown]],Posteo.de/en,dongsupark,,
,,Ervin Racz,CoreAzure,ervcz,,
,,Gabriel Adrian Samfira,Cloudbase Solutions S.R.L,gabriel-samfira,,
,,James Le Cuirot,Individual - No Account,chewi,,
,,Jan Bronicki,Individual - No Account,John15321,,
,,Jeremi Piotrowski,Individual - No Account,jepio,,
,,Kai Lüke,amutable,pothos,,
,,Krzesimir Nowak,Kinvolk GmbH,krnowak,,
,,Mathieu Tortuyaux,Microsoft Corporation,tormath1,,
,,Robin Schneider,Individual - No Account,robinschneider,,
,,Sayan Chowdhury,Microsoft,sayanchowdhury,,
,,Thilo Fromm,Microsoft Corporation,t-lo,,
Incubating,fluid-cloudnative,,,apc999,https://github.com/fluid-cloudnative/.project/blob/main/maintainers.yaml,cncf-fluid-maintainers@lists.cncf.io
,,,,cheyang,,
,,Kai Zhang,Individual - No Account,wsxiaozhang,,
,,Rong Gu,Nanjing University,RongGu,,
,,Weiwei Zhu,Individual - No Account,zwwhdls,,
,,,,yangyuliufeng,,
,,Zhihao Xu,Individual - No Account,TrafalgarZZZ,,
Incubating,grpc,Antoine Tollenaere,"Datadog, Inc",atollena,https://github.com/grpc/.project/blob/main/maintainers.yaml,cncf-grpc-maintainers@lists.cncf.io
,,Craig Tiller,Google LLC,ctiller,,
,,Doug Fawley,Google LLC,dfawley,,
,,Eric Anderson,Google LLC,ejona86,,
,,Gina Yeh,Google LLC,ginayeh,,
,,,,glbrntt,,
,,James Newton-King,Microsoft Corporation,JamesNK,,
,,Kun Zhang,Google,zhangkun83,,
,,Mark Roth,Google LLC,markdroth,,
,,Michael Lumish,Avanade Inc.,murgatroid99,,
,,,,nupurkot,,
,,Richard Belleville,Google LLC,gnossen,,
,,Sergii Tkachenko,gRPC,sergiitk,,
Incubating,k8gb-io,Andre Baptista Aguas,Individual - No Account,abaguas,https://github.com/k8gb-io/.project/blob/main/maintainers.yaml,cncf-k8gb-maintainers@lists.cncf.io
,,Bradley Andersen,k8gb,elohmrow,,
,,Dinar Valeev,Absa Bank Limited,k0da,,
,,Donovan Muller,Absa Bank Limited,donovanmuller,,
,,Jiří Kremser,Individual - No Account,jkremser,,
,,Michal Kuřítka,Individual - No Account,kuritka,,
,,Yury Tsarev,"Upbound, Inc.",ytsarev,,
Incubating,keycloak,Alexander Schwartz,IBM,ahus1,https://github.com/keycloak/.project/blob/main/maintainers.yaml,cncf-keycloak-maintainers@lists.cncf.io
,,,,mposolda,,
,,Pedro Igor,Keycloak,pedroigor,,
,,Ricardo Martin,IBM,rmartinc,,
,,Sebastian Schuster,Bosch,sschu,,
,,,,ssilvert,,
,,Steven Hawkins,Individual - No Account,shawkins,,
,,Stian Thorgersen,IBM,stianst,,
,,Takashi Norimatsu,"Hitachi, Ltd.",tnorimat,,
,,Thomas Darimont,Identity Tailor GmbH,thomasdarimont,,
,,Václav Muzikář,Individual - No Account,vmuzikar,,
Incubating,kserve,,,andyi2it,https://github.com/kserve/.project/blob/main/maintainers.yaml,kserve-maintainers@lists.cncf.io
,,Bartosz Majsak,Red Hat,bartoszmajsak,,
,,Cory Johannsen,"Cloudera, Inc.",cjohannsen-cloudera,,
,,Curtis Maddalozzo,Individual - No Account,cmaddalozzo,,
,,dan sun,Bloomberg Finance L.P.,yuzisun,,
,,Datta Nimmaturi,Individual - No Account 20,Datta0,,
,,Edgar Hernández,Individual - No Account,israel-hdez,,
,,Filippe Spolti,Individual - No Account,spolti,,
,,Gavrish Prabhu,Individual - No Account,gavrissh,,
,,,,greenmoon55,,
,,Johnu George,"Nutanix, Inc.",johnugeorge,,
,,Jooho lee,RedHat,Jooho,,
,,LIZE CAI,SAP SE,lizzzcai,,
,,Pierangelo Di Pilato,Red Hat LLC,pierDipi,,
,,Sivanantham Chinnaiyan,Individual - No Account,sivanantha321,,
,,Vivek Karunai Kiri Ragavan,Red Hat LLC,vivekk16,,
,,Yuan (Terry) Tang,Red Hat LLC,terrytangyuan,,
Incubating,kubescape,Amir Malka,Individual - No Account,amirmalka,https://github.com/kubescape/.project/blob/main/maintainers.yaml,cncf-kubescape-maintainers@lists.cncf.io
,,Ben Hirschberg,ARMO (Cyber Armor),slashben,,
,,Bezalel Brandwine,Softwine,bezbran,,
,,Matthias Bertschy,ARMO (Cyber Armor),matthyx,,
,,Rotem Refael,Individual - No Account,rotemamsa,,
Incubating,kubevela,Anoop Gopalakrishnan,"Guidewire Software, Inc.",anoop2811,https://github.com/kubevela/.project/blob/main/maintainers.yaml,cncf-kubevela-maintainers@lists.cncf.io
,,,,briankane,,
,,Jerome Guionnet,Guidewire Software,jguionnet,,
,,,,StevenLeiZhang,,
,,Tianxin Dong,Individual - No Account,FogDong,,
Incubating,kubevirt,Andrew Burden,KubeVirt,aburdenthehand,https://github.com/kubevirt/.project/blob/main/maintainers.yaml,cncf-kubevirt-maintainers@lists.cncf.io
,,Fabian Deutsch,Red Hat LLC,fabiand,,
,,Itamar Holder,Red Hat,iholder101,,
,,Luboslav Pivarc,Individual - No Account,xpivarc,,
,,Roman Mohr,Red Hat LLC,rmohr,,
,,Ryan Hallisey,NVIDIA Corporation,rthallisey,,
,,Stu Gott,Red Hat LLC,stu-gott,,
,,Vladik Romanovsky,Red Hat LLC,vladikr,,
Incubating,lima-vm,Akihiro Suda,"NTT, Inc.",AkihiroSuda,https://github.com/lima-vm/.project/blob/main/maintainers.yaml,cncf-lima-maintainers@lists.cncf.io
,,Anders F Björklund,Individual - No Account,afbjorklund,,
,,Ansuman Sahoo,BITS Pilani,unsuman,,
,,Balaji Vijayakumar,Individual - No Account,balajiv113,,
,,Jan Dubois,"ActiveState Software, Inc.",jandubois,,
,,Norio NOMURA,Individual - No Account,norio-nomura,,
Incubating,litmuschaos,Ajesh Baby,"MayaData Inc. (f/k/a CloudByte, Inc)",ajeshbaby,https://github.com/litmuschaos/.project/blob/main/maintainers.yaml,cncf-litmuschaos-maintainers@lists.cncf.io
,,Amit Kumar Das,Harness Inc.,amityt,,
,,Arkajyoti Mukherjee,Harness,arkajyotiMukherjee,,
,,Hrishav Kumar,Harness Inc.,hrishavjha,,
,,Kale Oum Nivrathi,"JFrog, Inc",oumkale,,
,,Karthik KS,"MayaData Inc. (f/k/a CloudByte, Inc)",ksatchit,,
,,Mariia Kotliarevskaia,Microsoft Corporation,Jasstkn,,
,,Namkyu Park,Independent,namkyu1999,,
,,Neelanjan Manna,Abnormal Security Corporation,neelanjan00,,
,,PRAKASH UMASANKAR Mukkara,"CloudByte, Inc",umamukkara,,
,,Pritesh Kiri,Individual - No Account,PriteshKiri,,
,,Raj Babu Das,Harness,imrajdas,,
,,remi ziolkowski,Individual - No Account,Vr00mm,,
,,Sahil Kumar,Harness,SahilKr24,,
,,Saranya Jena,Individual - No Account,Saranya-jena,,
,,Sarthak Jain,Harness,SarthakJain26,,
,,Sayan Mondal,Individual - No Account,S-ayanide,,
,,Shubham Chaudhary,Harness Inc.,ispeakc0de,,
,,Soumya Ghosh Dastidar,"Akuity, Inc.",gdsoumya,,
,,Udit Gaurav,Harness Inc.,uditgaurav,,
,,Vedant Shrotria,Harness Inc.,Jonsy13,,
Incubating,longhorn,Chin-Ya Huang,SUSE LLC,c3y1huang,https://github.com/longhorn/.project/blob/main/maintainers.yaml,cncf-longhorn-maintainers@lists.cncf.io
,,David Ko,SUSE LLC,innobead,,
,,Derek Su,Individual - No Account,derekbit,,
,,Divya Mohan,SUSE LLC,divya-mohan0209,,
,,Jinhong Kim,NAVER Corp.,hookak,,
,,Phan Le,SUSE LLC,PhanLe1010,,
,,Sheng Yang,SUSE LLC,yasker,,
,,Shuo Wu,Individual - No Account,shuo-wu,,
Incubating,metal3-io,Bob Fournier,Red Hat LLC,bfournie,https://github.com/metal3-io/.project/blob/main/maintainers.yaml,cncf-metal3-io-maintainers@lists.cncf.io
,,Dmitry Tantsur,Red Hat LLC,dtantsur,,
,,Feruzjon Muyassarov,Individual - No Account,fmuyassarov,,
,,Himanshu Roy,Individual - No Account,hroyrh,,
,,Honza Pokorný,Individual - No Account,honza,,
,,Iury Gregory,Individual - No Account,iurygregory,,
,,Kashif Khan,Ericsson,kashifest,,
,,Lennart Jern,Ericsson,lentzi90,,
,,Moshiur Rahman,Ericsson Software Technology,smoshiur1237,,
,,Muhammad Adil Ghaffar,Ericsson,adilGhaffarDev,,
,,Peppi-Lotta Kurjenhovi,Ericsson Software Technology,peppi-lotta,,
,,Riccardo Pittau,Red Hat LLC,elfosardo,,
,,Sunnatillo Samadov,Ericsson,Sunnatillo,,
,,Tuomo Tanskanen,Ericsson Software Technology,tuminoid,,
,,Zane Bitter,Red Hat,zaneb,,
,,Ádám Rozmán,Ericsson,Rozzii,,
Incubating,microcks,Laurent Broudoux,Microcks,lbroudoux,https://github.com/microcks/.project/blob/main/maintainers.yaml,cncf-microcks-maintainers@lists.cncf.io
,,Sebastien DEGODEZ,Microcks,SebastienDegodez,,
,,Yacine Kheddache,Microcks,yada,,
Incubating,nats-io,Alberto Ricart,Synadia Communications,aricart,https://github.com/nats-io/.project/blob/main/maintainers.yaml,cncf-nats-maintainers@lists.cncf.io
,,Brian Shannan,Individual - No Account,brianshannan,,
,,Byron Ruth,Synadia Communications,bruth,,
,,,,charliestrawn,,
,,Colin Sullivan,Synadia Communications,ColinSullivan1,,
,,David Kemper,Individual - No Account,davidkemper,,
,,Derek Collison,Synadia Communications,derekcollison,,
,,Ginger Collison,Synadia Communications,gcolliso,,
,,Ivan Kozlovic,Synadia Communications,kozlovic,,
,,,,levb,,
,,Matthias Hanel,Synadia Communications,matthiashanel,,
,,Michael Ries,Individual - No Account,mmmries,,
,,Neil Twigg,Synadia Communications,neilalexander,,
,,Oleg Shaldybin,Apcera,olegshaldybin,,
,,Phil Pennock,Synadia Communications,philpennock,,
,,Piotr Piotrowski,Synadia Communications,piotrpio,,
,,Pires Pires,Individual - No Account,pires,,
,,R.I. Pienaar,Synadia Communications,ripienaar,,
,,Scott Fauerbach,Individual - No Account,scottf,,
,,,,sixlettervariables,,
,,Stephen Asbury,Synadia Communications,sasbury,,
,,Tomasz Pietrek,Synadia Communications,jarema,,
,,Waldemar Quevedo,Synadia Communications,wallyqs,,
,,Yuna Yuna,Individual - No Account,yunabraska,,
Incubating,notaryproject,,,niazfk,https://github.com/notaryproject/.project/blob/main/maintainers.yaml,cncf-notary-maintainers@lists.cncf.io
,,,,priteshbandi,,
,,Shiwei Zhang,Microsoft,shizhMSFT,,
,,Toddy Mladenov,Microsoft Corporation,toddysm,,
,,,,vaninrao10,,
,,Yi Zha,Individual - No Account,yizha1,,
Incubating,open-feature,André Silva,General Motors,askpt,https://github.com/open-feature/.project/blob/main/maintainers.yaml,cncf-openfeature-maintainers@lists.cncf.io
,,Ben Rometsch,Flagsmith,dabeeeenster,,
,,David Hirsch,Dynatrace LLC,DavidPHirsch,,
,,Jonathan Norris,Dynatrace LLC,jonathannorris,,
,,Lukas Reining,codecentric AG,lukas-reining,,
,,Maks Osowski,Google LLC,cupofcat,,
,,Michael Beemer,Dynatrace LLC,beeme1mr,,
,,Nicklas Lundin,Individual - No Account,nicklasl,,
,,Pete Hodgson,Independent,moredip,,
,,Ryan Lamb,LaunchDarkly,kinyoklion,,
,,Simon Schrottner,Individual - No Account,aepfli,,
,,Thomas Poignant,GO Feature Flag,thomaspoignant,,
,,Todd Baert,Dynatrace LLC,toddbaert,,
Incubating,opencost,Ajay Tripathy,Individual - No Account,AjayTripathy,https://github.com/opencost/.project/blob/main/maintainers.yaml,cncf-opencost-maintainers@lists.cncf.io
,,Alex Meijer,Individual - No Account,ameijer,,
,,,,cpetersen5,,
,,Manas Sivakumar,Individual - No Account 20,Manas23601,,
,,Matt Bolt,Individual - No Account,mbolt35,,
,,Niko Kovacevic,Individual - No Account,nikovacevic,,
,,,,r2k1,,
,,Rajith Muditha Attapattu,Individual - No Account,rajith77,,
,,Sean Holcomb,Individual - No Account,Sean-Holcomb,,
,,Warwick Peatey,IBM,peatey,,
Incubating,openfga,[[unknown]] [[unknown]],Individual - No Account,vic-dev,https://github.com/openfga/.project/blob/main/maintainers.yaml,cncf-OpenFGA-maintainers@lists.cncf.io
,,Adrian Tam,Okta Inc.,adriantam,,
,,Alberto Perdomo,Okta Inc.,albertoperdomo,,
,,Andres Aguiar,Okta Inc.,aaguiarz,,
,,Anurag Bandyopadhyay,OpenFGA,SoulPancake,,
,,Dan Cech,,DanCech,,
,,,,davidpatrick,,
,,Ewan Harris,Axway Inc.,ewanharris,,
,,Hemanth Reddy Yalla,Okta Inc.,hemanthreddy7,,
,,Jakub Hertyk,Individual - No Account,curfew-marathon,,
,,,,jimmyjames,,
,,,,jnweiner-auth0,,
,,Joshua Jones,OpenFGA,senojj,,
,,José Padilla,Individual - No Account,jpadilla,,
,,Justin Cohen,Individual - No Account,justincoh,,
,,Maurice Ackel,Individual - No Account,mauriceackel,,
,,Patrick Dillon,Individual - No Account,pdillon,,
,,Poovamraj Thanganadar Thiagarajan,Individual - No Account,poovamraj,,
,,Raghd Hamzeh,OpenFGA,rhamzeh,,
,,Saad Hussain,Individual - No Account,saad-h1,,
,,Sergiu Ghitea,Individual - No Account,sergiught,,
,,Siddhant Khare,Okta Inc.,Siddhant-K-code,,
,,Steve Hobbs,Individual - No Account,stevehobbsdev,,
,,Talent Zeng,Okta Inc.,ttrzeng,,
,,Tyler Nix,Okta,tylernix,,
,,Will Vedder,Individual - No Account,willvedd,,
,,Yamil Asusta,Individual - No Account,elbuo8,,
,,,,yissellokta,,
Incubating,openkruise,Fei Guo,Individual - No Account,Fei-Guo,https://github.com/openkruise/.project/blob/main/maintainers.yaml,cncf-openkruise-maintainers@lists.cncf.io
,,Siyu Wang,"ALIBABA.COM, INC.",FillZpp,,
,,Wei-Xiang Sun,Xiaohongshu,veophi,,
,,Zhang Zhen,Individual - No Account,furykerry,,
,,,,zmberg,,
Incubating,openyurtio,Bingchang Tang,Individual - No Account,zyjhtangtang,https://github.com/openyurtio/.project/blob/main/maintainers.yaml,cncf-openyurt-maintainers@lists.cncf.io
,,Cookie Cookie,"Inspur Group Co., Ltd.",luckymrwang,,
,,David zhang,Individual - No Account,zzguang,,
,,Fei Guo,Individual - No Account,Fei-Guo,,
,,Hanqi Li,Individual - No Account,LavenderQAQ,,
,,he rambo,Alibaba Cloud (Singapore) Private LTD,rambohe-ch,,
,,Shaoqiang Chen,Individual - No Account,gnunu,,
,,Wuming Liu,Individual - No Account,lwmqwer,,
,,Zhen Zhao,Individual - No Account,JameKeal,,
Incubating,operator-framework,Adam Cornett,Red Hat LLC,acornett21,https://github.com/operator-framework/.project/blob/main/maintainers.yaml,cncf-operatorframework-maintainers@lists.cncf.io
,,Andrea Peruffo,Individual - No Account,andreaTP,,
,,Anik Bhattacharjee,Individual - No Account,anik120,,
,,Ankita Thomas,Red Hat LLC,ankitathomas,,
,,Attila Mészáros,Apple,csviri,,
,,,,bentito,,
,,Bryce Palmer,Individual - No Account,everettraven,,
,,Camila de Oliveira Macedo,Red Hat LLC,camilamacedo86,,
,,Christophe Laprun,Red Hat LLC,metacosm,,
,,,,dtfranz,,
,,Edmund Ochieng,Red Hat LLC,OchiengEd,,
,,Fabian von Feilitzsch,Red Hat LLC,fabianvf,,
,,Ish Shah,Individual - No Account,theishshah,,
,,Joe Lanford,Red Hat LLC,joelanford,,
,,Jonathan Berkhahn,International Business Machines Corporation,jberkhahn,,
,,Jordan Keister,Red Hat LLC,grokspawn,,
,,Kevin Rizza,Red Hat LLC,kevinrizza,,
,,Nico Schieder,Red Hat LLC,thetechnick,,
,,,,oceanc80,,
,,Per Goncalves da Silva,Individual - No Account,perdasilva,,
,,Predrag Knezevic,Red Hat LLC,pedjak,,
,,Rashmi Gottipati,Red Hat LLC,rashmigottipati,,
,,Tayler Geiger,Individual - No Account,trgeiger,,
,,Todd Short,Individual - No Account,tmshort,,
,,Varsha Prasad Narsing,Red Hat LLC,varshaprasad96,,
Incubating,Project-HAMi,,,DSFans2014,https://github.com/Project-HAMi/.project/blob/main/maintainers.yaml,cncf-hami-maintainers@lists.cncf.io
,,Mengxuan Li,Dynamia AI,archlitchi,,
,,Reza Jelveh,Individual - No Account,fishman,,
,,Shouren Yang,Individual - No Account,shouren,,
,,xiao zhang,Individual - No Account,wawa0210,,
,,Yin Yu,Individual - No Account,nimbus318,,
,,王纪飞 王纪飞,Individual - No Account,fouof,,
Incubating,projectcontour,,,clayton-gonsalves,https://github.com/projectcontour/.project/blob/main/maintainers.yaml,cncf-contour-maintainers@lists.cncf.io
,,,,izturn,,
,,nigel brown,Individual - No Account,pnbrown,,
,,Sotiris Nanopoulos,Microsoft Corporation,davinci26,,
,,Sunjay Bhatia,"Pivotal Software, Inc.",sunjayBhatia,,
,,Tero Saarni,Ericsson,tsaarni,,
Incubating,strimzi,Jakub Scholz,Individual - No Account,scholzj,https://github.com/strimzi/.project/blob/main/maintainers.yaml,cncf-strimzi-maintainers@lists.cncf.io
,,Jakub Stejskal,IBM,Frawless,,
,,Kate Stanley,IBM,katheris,,
,,Lukáš Král,Individual - No Account,im-konge,,
,,Orsák Maroš,Individual - No Account,see-quick,,
,,Paolo Patierno,IBM,ppatierno,,
,,Samuel Hawker,Individual - No Account,samuel-hawker,,
,,Stanislav Knot,Red Hat LLC,sknot-rh,,
,,Tina Selenge,Individual - No Account,tinaselenge,,
,,Tom Bentley,Red Hat LLC,tombentley,,
Incubating,tektoncd,Abhishek Ghosh,Individual - No Account,ab-ghosh,https://github.com/tektoncd/.project/blob/main/maintainers.yaml,cncf-tekton-maintainers@lists.cncf.io
,,Akshay Pant,Individual - No Account,theakshaypant,,
,,Alan Greene,IBM India Pvt Ltd,AlanGreene,,
,,Andrea Frittoli,International Business Machines Corporation,afrittoli,,
,,Andrew Bayer,Apache Software Foundation,abayer,,
,,Andrew Thorp,Individual - No Account,aThorp96,,
,,Anitha Priya Natarajan,Individual - No Account,anithapriyanatarajan,,
,,Billy Lynch,"Chainguard, Inc.",wlynch,,
,,Brian Gleeson,International Business Machines Corporation,briangleeson,,
,,Chmouel Boudjnah,Red Hat LLC,chmouel,,
,,Daniel Helfand,Red Hat LLC,danielhelfand,,
,,Dibyo Mukherjee,Adobe Inc.,dibyom,,
,,Divyanshu Agrawal,Individual - No Account,divyansh42,,
,,Emil Natan,Individual - No Account,enarha,,
,,Jawed Khelil,Individual - No Account,jkhelil,,
,,Jerop Kipruto,Google LLC,jerop,,
,,,,kaushalnavneet,,
,,Khurram Baig,Red Hat LLC,khrm,,
,,Lyndsey Butler,Individual - No Account,LyndseyBu,,
,,,,mbpavan,,
,,,,piyush-garg,,
,,Pramod Bindal,Individual - No Account,pramodbindal,,
,,Priti Desai,Individual - No Account,pritidesai,,
,,Priya Wadhwa,Google LLC,priyawadhwa,,
,,Puneet Punamiya,Red Hat LLC,PuneetPunamiya,,
,,savita ashture,Red Hat LLC,savitaashture,,
,,Shiv Pratap,Red Hat LLC,pratap0007,,
,,Shivam Mukhade,Red Hat LLC,sm43,,
,,Shubham Bhardwaj,Red Hat India Pvt. ltd,infernus01,,
,,Stanislav Jakuschevskij,Individual - No Account,twoGiants,,
,,Vibhav Bobade,Red Hat LLC,waveywaves,,
,,Vinamra Jain,Razorpay,vinamra28,,
,,Vincent Demeester,Red Hat LLC,vdemeester,,
,,Zaki Shaikh,Individual - No Account,zakisk,,
